,ADANIPORTS,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BHARTIARTL,BPCL,BRITANNIA,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,IOC,ITC,JSWSTEEL,KOTAKBANK,LT,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBIN,SHREECEM,SUNPHARMA,TATACONSUM,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,ULTRACEMCO,UPL,WIPRO
2025-01-13,1.1165790970209614e-06,1.1165977980833107e-06,1.1165695462594427e-06,1.1165587779622933e-06,1.1166081602101235e-06,1.1275453898555893e-06,1.1166159913840912e-06,1.1275453898555893e-06,0.02222252298760452,1.1166047998503495e-06,0.022222522972288623,0.02222252286773867,1.1165913165803983e-06,0.022222522979381536,1.1166869500555147e-06,0.20000125823288356,1.1165843744617944e-06,1.1165881649362544e-06,1.1166085540857849e-06,1.11660586001494e-06,0.20000125821747827,0.15551493068844535,1.1275453898555893e-06,1.1166054687633842e-06,1.1166032302710606e-06,1.1165942233583872e-06,0.02222252298074946,1.1166053046053389e-06,1.1165952462785203e-06,1.116573051365888e-06,1.1165853013295693e-06,1.1275453898555893e-06,0.02222252293336337,1.116583406437546e-06,0.2000012582916807,1.116616642522377e-06,0.02222252298726208,0.022222522984846033,0.022222522974930183,1.1166836434729655e-06,1.1167013544146233e-06,1.116623706616467e-06,0.02222252298328731,1.11657062122999e-06,0.02222252299490927
2025-01-14,1.1930022345781717e-06,1.1609496510842003e-06,1.160919485475451e-06,1.1609197032725271e-06,1.1609547902121702e-06,1.1690326198044056e-06,1.1609731578278245e-06,1.1690326198044056e-06,0.022222898763870645,1.1609437397112103e-06,0.022222898741297924,0.022222898463046308,1.1609466139036696e-06,1.6550510344721189e-06,1.1610114811738567e-06,0.2000013066605199,1.1609482536758239e-06,1.1609482333221064e-06,1.1609550275198034e-06,1.1609582587648654e-06,0.20000130664584487,0.1555153066701903,1.1690326198044056e-06,1.1609612319074326e-06,1.160951376409078e-06,1.1609481264504526e-06,1.287191359481786e-06,1.1609520424702887e-06,1.1609435707698221e-06,1.160916647635934e-06,1.1609285000368447e-06,1.1690326198044056e-06,0.02222289862077328,1.1609290591692673e-06,0.2000013067058102,1.1609697532907774e-06,0.02222289876584729,0.022222898750942015,0.0222228987550561,1.1610129771810539e-06,1.161028061213616e-06,1.1609652018457296e-06,0.022222898742430545,1.1609219224424242e-06,0.06665974848139608
2025-01-15,1.0452128226704087e-06,1.0238515244047502e-06,1.023853395809035e-06,1.023852396938673e-06,1.0238552036081712e-06,1.0304127115226943e-06,1.0238789968973053e-06,1.0304127115226943e-06,0.02222302350713409,1.0238499378751926e-06,0.02222302354182726,0.02222302484602681,1.023843353185286e-06,1.3532543106654942e-06,1.0238969869327276e-06,0.20000114507180544,1.0238525500829178e-06,1.0238644332301747e-06,1.023851495333543e-06,1.023847875143656e-06,0.20000114504163152,0.15551543149235855,1.0304127115226943e-06,1.0284042107928868e-06,1.0283761812264672e-06,1.0238677351161424e-06,1.1080217630903611e-06,1.0238648339345313e-06,1.023853913918915e-06,1.023829502656003e-06,1.0283848522082876e-06,1.0304127115226943e-06,0.04444911385542166,1.023839069099487e-06,0.2000011450994114,1.0238589232768712e-06,0.022223023517027762,0.02222302348745813,0.022223023483545837,1.023899175133346e-06,1.0239190901870595e-06,1.0238677745796679e-06,7.65624851569893e-07,1.0238303181924748e-06,0.06665987319702796
2025-01-16,1.0319174679875351e-06,1.0121364026208243e-06,1.012147354266348e-06,1.0121413523313952e-06,1.012140165301569e-06,1.0158036550013545e-06,1.0121476350896202e-06,1.0158036550013545e-06,0.02222326909532709,1.0121430331366605e-06,0.022223269138871928,0.022223270658524853,1.0121298038242844e-06,1.278324599212954e-06,1.0121660906484684e-06,0.20000111197541307,1.0121320527877902e-06,1.012142553964671e-06,1.0121377487245856e-06,1.0121315752933191e-06,0.2000011119514749,0.1555156772074096,1.0158036550013545e-06,1.015168120250613e-06,1.0151537046918387e-06,1.012147891415158e-06,1.082145728931888e-06,1.0121482118418888e-06,1.0121417641659135e-06,1.0121334236018394e-06,1.015168985290347e-06,1.0158036550013545e-06,0.20000107739654724,1.0121363060843704e-06,1.01073757247745e-06,1.0121357376167187e-06,0.02222326910400415,0.022223269082146148,0.0222232690679998,1.014833416620102e-06,1.0121763383868524e-06,1.0121495608886407e-06,8.399935788549293e-07,1.0121291191250933e-06,0.11110678366936566
2025-01-17,6.147658520159841e-07,6.65945070631789e-07,6.659521558530859e-07,6.659481543011142e-07,6.659482940926545e-07,6.688635580329031e-07,6.659515463275074e-07,6.688635580329031e-07,0.022223003386463304,6.659491108562256e-07,0.022223003431437214,0.022223004869112686,6.659417085107407e-07,8.43405450076165e-07,6.659627841806309e-07,0.20000066783457382,6.65943297141273e-07,6.659484661651715e-07,6.659445158840745e-07,6.659424936666368e-07,0.20000066781713663,0.0,6.688635580329031e-07,6.679658951210471e-07,6.679605398803769e-07,6.659520359781852e-07,6.549471347660071e-07,6.659531109142295e-07,6.659479956023567e-07,6.659449372845869e-07,6.679688531294014e-07,6.688635580329031e-07,0.2000006401432051,6.659468502228535e-07,5.97820558512338e-07,6.659452213572066e-07,0.022223003395535828,0.022223003378094734,0.1777540321663479,6.010957980248882e-07,6.659698478121188e-07,5.989495867082669e-07,5.511836205172082e-07,6.659427314910985e-07,0.11110651307924359
2025-01-20,3.1868667744873076e-07,3.5279331613254645e-07,3.527174516518138e-07,3.5271427128747665e-07,3.527980842017797e-07,3.5075068725892457e-07,3.5275757377568697e-07,3.5075068725892457e-07,0.0,3.527859119800803e-07,0.0,0.022222591193997464,3.528191041629048e-07,4.7109028257705293e-07,3.5279251281548047e-07,0.20000003594706514,3.527850618431734e-07,3.5274450217467264e-07,3.528093012929406e-07,2.2423040527238513e-07,0.20000003600162486,0.0,3.5075068725892457e-07,3.5411207990168283e-07,3.541720332362708e-07,3.5273556785669657e-07,2.1533461498053555e-07,3.5275161993929143e-07,3.527691513825918e-07,2.241716904509427e-07,3.5408248938940104e-07,3.5075068725892457e-07,0.15556950241334283,2.2417336592157738e-07,1.6964789024833683e-07,3.5282026669693375e-07,0.02222259616670784,0.022222596198714008,0.1777534775143592,1.7228550311746204e-07,3.5275643466934404e-07,3.0810483731046625e-07,2.762681849829293e-07,3.52798421883207e-07,0.19999809805183102
2025-01-21,1.9492665660877074e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1371799516138667e-08,0.0,0.022222226418738344,0.0,0.0,0.0,0.1999974539001105,0.0,0.0,0.0,0.0,0.19999746618820402,0.0,0.0,0.0,0.0,0.0,1.0163022368749005e-07,0.0,2.1157647758331834e-07,8.003861750951498e-08,0.0,0.0,0.15556728554205335,5.642309110304098e-08,6.223453389198288e-08,0.0,0.0,0.022222231423381793,0.19999664753043267,6.719136483676308e-08,0.0,0.0,0.0,0.0,0.19999590360331468
2025-01-22,4.793109362385879e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022222100564498328,0.0,0.0,0.0,0.19999651078050248,0.0,0.0,0.0,0.0,0.19999734464038046,0.0,0.0,0.0,0.0,0.0,1.834955600431798e-09,0.0,0.0,3.80310659106433e-08,0.0,0.0,0.15556660035913972,1.9138724425959685e-08,0.0,0.0,0.0,0.02222210556912583,0.1999957759842898,0.0,0.0,0.0,0.0,0.0,0.19999945516522374
2025-01-23,2.908186683283716e-07,2.529313305706739e-07,2.5293132968264755e-07,2.52931330436706e-07,2.529313297382287e-07,2.5293044681341416e-07,2.5293133195038546e-07,2.5293044681341416e-07,2.524737959647327e-07,2.5293133137110693e-07,2.524737984932319e-07,0.02222241698784763,2.5293132930461637e-07,2.52473795068814e-07,2.529313335403381e-07,1.1113715291720987e-06,2.5247379523380734e-07,2.529313319127144e-07,2.529313304263806e-07,2.5293133016436445e-07,0.1999976612872633,2.5293133326933916e-07,2.5293044681341416e-07,2.5293133242343123e-07,2.524737928268161e-07,2.5293133413936063e-07,2.543992959255582e-07,2.5293132742218936e-07,2.529313312920782e-07,0.20000146581751893,2.5247379415566696e-07,2.5293044681341416e-07,1.1932879950357717e-06,2.682423104387638e-07,2.529313318281381e-07,2.529313296884236e-07,2.5247379507290697e-07,0.17776552366471632,0.20000140126278879,2.524737965995787e-07,2.529313327362032e-07,2.529313303191213e-07,2.5293133044206383e-07,2.52931328370351e-07,0.19999981685763446
2025-01-24,1.9677580859062157e-07,3.053735565190894e-07,3.05372078068071e-07,3.053726231697143e-07,3.053726416894738e-07,3.053706932211303e-07,3.0537325716287967e-07,3.053706932211303e-07,1.6609957910169726e-07,3.053727259277805e-07,1.6609956473855618e-07,0.022222363271820575,3.053723509476307e-07,3.050672499282984e-07,3.05373137130356e-07,8.77666094366212e-07,1.6609990415947087e-07,3.053731892157765e-07,3.0537360785290336e-07,3.053723327968594e-07,0.19999809311422215,3.053724947844075e-07,3.053706932211303e-07,1.664659292512894e-07,3.0506743914640286e-07,3.0537223188065707e-07,3.063512275449245e-07,3.0537221145482595e-07,3.053720463602523e-07,0.2000011367362057,1.6609957855616492e-07,3.053706932211303e-07,9.187508553287505e-07,3.155795103548288e-07,3.053717197209828e-07,3.053701218397943e-07,1.660998975965431e-07,0.17776548152398455,0.2000010850946495,3.0506712383966615e-07,3.053728529631121e-07,3.0537383293890825e-07,3.053700851159447e-07,1.6646593370045088e-07,0.19999981757055088
2025-01-27,0.0,0.0,7.200808883367924e-08,7.20082974767973e-08,7.200851550549184e-08,7.201581392402955e-08,7.200879651398536e-08,7.201581392402955e-08,0.0,7.200854551691497e-08,0.0,0.0,7.200835717732807e-08,7.180491967251434e-08,7.200875434244211e-08,3.440195445333136e-07,0.0,7.200876120473498e-08,7.20091111407467e-08,0.0,0.19999750298687424,7.200829496999026e-08,7.201581392402955e-08,0.0,7.180506529093252e-08,7.200820190511448e-08,7.266091318985491e-08,7.200810421293885e-08,7.200802094335613e-08,0.1999999378770687,0.0,7.201581392402955e-08,4.809236667738279e-07,0.20000115479947198,7.200788187849353e-08,0.0,0.0,0.0,0.19999989656391617,7.180476099206696e-08,7.200852642214022e-08,7.200923657742747e-08,7.200677041263674e-08,0.0,0.1999988825472777
2025-01-28,4.692045717653528e-09,4.707952312163342e-09,4.507677018892066e-08,6.231458846710313e-08,6.231476290771235e-08,3.394149926481299e-08,1.862412781547272e-08,3.394149926481299e-08,4.707952305174444e-09,0.0,4.692045701472882e-09,4.707952306523918e-09,2.8951723394277926e-08,4.768590385038717e-08,6.23149539444791e-08,6.1376980275897604e-09,0.19999998432090776,6.231495946427604e-08,4.278922880987704e-08,4.707952336313468e-09,0.1999980007166673,0.0,3.394149926481299e-08,4.692045675742335e-09,0.0,2.1276587796145656e-08,5.530440868251774e-08,2.3583761576830312e-08,4.974554764416372e-08,0.1999999486287609,4.6920456960730275e-09,3.394149926481299e-08,3.8943096684515785e-07,0.20000077032613844,4.1364918829315315e-08,4.707952312268578e-09,4.69204567896674e-09,4.692045677734001e-09,0.19999991557823973,2.4719760527524607e-08,4.4023690209946915e-08,4.541333936303772e-08,5.487460255795408e-08,4.707952315115017e-09,0.0
2025-01-29,0.0,5.265600770978755e-08,9.001097491871303e-08,1.015027732746883e-07,1.0192334360057863e-07,7.200560201062453e-08,7.518944128031519e-08,7.200560201062453e-08,6.394012381748691e-08,7.002304533160676e-08,6.373210014125793e-08,5.357033688687675e-08,7.960193449876869e-08,1.0101251790658686e-07,9.25105016849781e-08,6.322302260263529e-08,0.1999996896781888,1.0150227277971965e-07,9.099485877168498e-08,5.880275719374517e-08,0.19999810335938834,5.866727216887306e-08,7.200560201062453e-08,8.278931360351911e-08,6.20422485041604e-08,7.478467972191862e-08,0.0,6.800271721402483e-08,9.110386921457349e-08,0.19999966449152046,0.0,7.200560201062453e-08,1.893352219647927e-07,0.2000003204544699,9.384754146615688e-08,5.5613305661419287e-08,0.0,0.0,0.19999963596735632,7.648597194433632e-08,9.21167807705037e-08,9.304073331672268e-08,0.0,0.0,0.0
2025-01-30,0.0,1.0178267368336635e-07,1.2754187687199844e-07,1.3859969069426505e-07,1.3521189293335406e-07,1.1723419927683525e-07,1.2172044380861558e-07,1.1723419927683525e-07,1.1078445033478289e-07,1.16001269675499e-07,1.1042725953276239e-07,1.0436071014053211e-07,1.2075849314351884e-07,1.3582799989872794e-07,1.3414622365729402e-07,1.1086914191860928e-07,0.19999943928287,1.4130838289532692e-07,1.2799184259553341e-07,1.0809590442061877e-07,0.19999817025264602,1.0535429991574884e-07,1.1723419927683525e-07,0.0,1.0944951519389205e-07,1.2270633935486067e-07,6.86253516541035e-08,1.1788540224137255e-07,1.2839636799117322e-07,0.19999941390613848,0.0,1.1723419927683525e-07,6.77771358304041e-08,0.19999994411119812,1.308033895423343e-07,1.0589396112773159e-07,0.0,0.0,0.1999993983513322,0.0,1.2921522609060816e-07,1.3362277309302839e-07,0.0,0.0,0.0
2025-01-31,5.883848228657945e-08,1.266957262736387e-07,1.4386769556682543e-07,1.512401012139231e-07,1.4898183438645427e-07,1.370210275783023e-07,1.3998815919772763e-07,1.370210275783023e-07,1.3269689575440204e-07,1.3617408474340342e-07,1.3245841109557262e-07,1.2840858275507216e-07,1.3934635612729188e-07,1.4939242658596088e-07,1.4827151457797894e-07,0.0,0.19999924886143625,1.5304644696968915e-07,0.0,0.0,0.1999982336371466,1.2907709182729607e-07,1.370210275783023e-07,0.0,1.3180680261407364e-07,0.0,1.0459011066651593e-07,1.3743060739859985e-07,1.4443789306958574e-07,0.19999922855844707,0.0,1.370210275783023e-07,0.0,1.1303047424090285e-07,1.4604247145118652e-07,1.2943706330096554e-07,0.0,5.884016435003829e-08,0.1999992161158455,5.884098102394395e-08,1.449846580698145e-07,1.4792229649835785e-07,0.0,0.0,0.20000018889468224
2025-02-03,0.0,1.4474562181735886e-07,1.5619470629841333e-07,1.611090807366562e-07,1.596037671643427e-07,1.5179746403433854e-07,1.5360729763945503e-07,1.5179746403433854e-07,1.4874627162788946e-07,1.5106516498104044e-07,0.0,0.0,1.5318032016103832e-07,1.598794758406181e-07,1.5912962730736623e-07,0.0,0.1999990942175475,1.6231234743465778e-07,6.02818144106224e-08,0.0,0.1999982820402119,1.4633306256911183e-07,1.5179746403433854e-07,0.0,1.4815430939944157e-07,6.028181739949291e-08,1.3000869417530497e-07,1.5190261527935328e-07,1.5657400593011582e-07,0.19999907797813984,0.0,1.5179746403433854e-07,6.02691657711745e-08,0.0,1.5764535789002514e-07,1.465742124045433e-07,0.0,9.951033932532323e-08,0.19999906802304906,0.0,1.5693733088840307e-07,1.5889790362103785e-07,0.2000003254221637,6.028372365425088e-08,1.4189999807629322e-07
2025-02-04,0.0,1.502051520184269e-07,1.7686871938578558e-07,1.8014544528422103e-07,1.7828729865265597e-07,1.7455832806660995e-07,1.524459949534435e-07,1.7455832806660995e-07,1.7190737738293846e-07,1.7253713337746307e-07,7.272863747688443e-08,0.0,1.7399172737857272e-07,1.5349420094736812e-07,1.795277591930014e-07,0.0,0.19999899819992384,1.8129745929818102e-07,0.0,7.274393474597193e-08,0.1999983427560254,1.7181717932553495e-07,1.7455832806660995e-07,7.160932106054021e-08,0.0,0.0,1.59411842344156e-07,1.756949898610923e-07,1.7711905910271398e-07,0.19999897670581523,0.0,1.7455832806660995e-07,1.1492661404766221e-07,8.1175983958299e-08,1.7428730102607182e-07,1.532980650914967e-07,0.0,0.0,0.19999897153811944,7.38163285315267e-08,1.791192491810958e-07,2.1549094512444168e-07,0.19999997746365242,1.1292932194352975e-07,1.582251105379139e-07
2025-02-05,0.0,1.9146191700440241e-07,2.0923777780009146e-07,2.1142139266201916e-07,2.1018261469113923e-07,2.0763115898344787e-07,1.929557186907142e-07,2.0763115898344787e-07,4.717834227155697e-08,2.0635097184940524e-07,1.3981206271413543e-07,0.0,4.884467950524083e-08,1.9365510342742963e-07,2.110110280607728e-07,9.132584480464491e-08,0.19999901134760392,2.1218998637412127e-07,9.132509897520341e-08,0.0,0.1999984869911438,2.0587035639636078e-07,2.0763115898344787e-07,1.3906484289700698e-07,9.132549036134736e-08,9.132585879523663e-08,1.9760112256086436e-07,0.19999883225504267,2.09404385905466e-07,0.19999899415236583,0.0,2.0763115898344787e-07,1.5995066813966298e-09,1.4544312405614374e-07,2.075171964774825e-07,1.9352433509305483e-07,0.0,0.0,0.199998990017591,1.4053635676069975e-07,2.1073874616128214e-07,2.3498561870159636e-07,3.259753982323718e-07,1.6661116647660286e-07,3.623457218150332e-08
2025-02-06,0.0,2.027585879420247e-07,2.1642824760286676e-07,2.2157472559426506e-07,2.170719577057897e-07,2.1550004339283163e-07,2.0612488863588298e-07,2.1550004339283163e-07,0.0,2.1131033766480186e-07,1.6834321738425973e-07,0.0,1.0987950168169374e-07,2.0505540614514756e-07,2.189640775369968e-07,1.3826225092560426e-07,0.19999892406707506,2.1823750319861837e-07,1.3856790872674809e-07,0.0,0.1999985057307953,2.1484171121241609e-07,2.1550004339283163e-07,1.7100563504983496e-07,1.344809752168774e-07,0.0,2.0798220492526093e-07,0.19999878060589243,2.123592756629025e-07,0.19999890969810874,0.0,2.1550004339283163e-07,0.0,1.7453590541716234e-07,2.109209345169572e-07,2.06453676539597e-07,0.0,0.0,0.19999890831158576,1.7325598079569654e-07,2.19534241345626e-07,2.3370977823509673e-07,2.931826645065842e-07,1.8474377487822616e-07,0.0
2025-02-07,0.0,2.1243514475455334e-07,2.215405107550674e-07,2.2494021516606667e-07,2.220078415999248e-07,2.2095544031410276e-07,5.75527693854081e-08,2.2095544031410276e-07,7.728626188521615e-08,2.1813342788535436e-07,1.8952183273087733e-07,0.0,1.5046389726388426e-07,2.139730436971133e-07,2.2332709320227337e-07,1.6946801346454028e-07,0.19999890331115555,2.227766360890775e-07,3.5071962994557918e-09,7.72862626706481e-08,0.19999856866034643,2.2052095301694106e-07,2.2095544031410276e-07,1.9129368035281405e-07,2.3761988112767717e-10,7.7293355500185e-08,2.1588549705231787e-07,0.199998788560269,2.1880451769318672e-07,0.1999988916601134,0.0,2.2095544031410276e-07,7.731551051475023e-08,1.937071788018975e-07,2.179249445699227e-07,2.1492909973224023e-07,0.0,0.0,0.19999889071223423,3.125764353346396e-08,2.236482938963895e-07,2.33109140579647e-07,2.726471078632818e-07,2.004784302883753e-07,0.0
2025-02-10,0.0,2.249239784743065e-07,2.310018100841422e-07,2.332680914708351e-07,2.3130421057429412e-07,2.3072643567558028e-07,1.21673079176348e-07,2.3072643567558028e-07,1.3482472908992177e-07,2.287232509852764e-07,2.0966432683521486e-07,0.0,1.8360549106271018e-07,2.2594941838939445e-07,2.3218643620592073e-07,3.925655304837184e-08,0.19999882115533604,2.318229867031017e-07,8.563671432265527e-08,0.0,0.19999855343118386,2.3031677902728894e-07,2.3072643567558028e-07,2.1083238302166525e-07,8.345465364322742e-08,1.3483593013482802e-07,2.2722778820890824e-07,0.19999872936462754,2.291721218731195e-07,0.19999881183211415,0.0,2.3072643567558028e-07,0.0,2.1243845859112704e-07,2.285860095269881e-07,2.265827223400618e-07,0.0,0.0,0.19999881089186008,0.0,2.324046505808368e-07,2.387081982946091e-07,2.6506595937622475e-07,2.169514045674588e-07,0.0
2025-02-11,4.6659286275239716e-08,3.576112642896882e-08,2.0066298622171495e-07,2.0217478728987587e-07,2.00866022571775e-07,2.005115652425102e-07,1.277797772774963e-07,2.005115652425102e-07,0.0,1.9914384171090782e-07,1.86438497480017e-07,0.0,1.6906710950127345e-07,1.9729568405909112e-07,2.0145422623686636e-07,7.283369025643111e-08,0.19999870957803936,2.0121222953529502e-07,1.0375411915505887e-07,0.0,0.19999849539715986,2.0020816886777386e-07,2.005115652425102e-07,1.8721862925986882e-07,0.0,0.0,6.497385945369827e-08,0.19999863614449293,1.994440227761228e-07,0.19999870211629023,0.0,2.005115652425102e-07,0.0,1.882873128067518e-07,1.9905308396414617e-07,1.9771906551835512e-07,0.0,4.666213186234124e-08,6.460083212736884e-08,0.0,2.0160059992066532e-07,2.0580164698012736e-07,2.2337261199602497e-07,1.9129630844968664e-07,0.2000003393750986
2025-02-12,0.0,9.953945759013155e-08,5.1370568820347404e-08,2.1051192735135422e-07,2.096374474554638e-07,2.094044270313632e-07,1.6085887048482665e-07,2.094044270313632e-07,0.0,2.0850023247225172e-07,2.00007545255641e-07,7.573381045353493e-08,1.88371256132566e-07,2.0729698099010315e-07,2.1002694563317795e-07,1.2428253949983284e-07,0.19999868729264406,2.0985658457799572e-07,1.4489623589981565e-07,0.0,0.1999985159179267,2.092094170099718e-07,2.094044270313632e-07,2.0051762380297027e-07,7.573093551363413e-08,0.0,1.190281619278424e-07,0.1999986285142814,2.086777500049525e-07,0.1999986812917907,0.0,2.094044270313632e-07,0.0,2.012979336647507e-07,2.0844392920250977e-07,2.0760250971404494e-07,0.0,0.0,0.0,7.574684991355654e-08,2.101431582275256e-07,2.1295326591651289e-07,2.246963911274937e-07,2.0331104612699453e-07,0.19999999111527422
2025-02-13,0.0,1.4529966376417463e-07,0.0,2.198802459736459e-07,2.178523202255976e-07,2.1890066978926263e-07,1.8693756947398135e-07,2.1890066978926263e-07,7.930564220179988e-08,2.1884607007409435e-07,2.1264300985527708e-07,0.0,2.0535046795870196e-07,2.1795175688271596e-07,2.1907787939989594e-07,1.6178373781385068e-07,0.1999986914916136,2.1916471551011386e-07,1.7544206391169545e-07,0.0,0.1999985544812193,2.187888765623906e-07,2.1890066978926263e-07,5.6094858511335276e-08,1.2941010877157974e-07,0.0,1.5874163177097788e-07,0.19999864454852728,2.1837134365109455e-07,0.19999868673239826,7.90595881183859e-08,2.1890066978926263e-07,0.0,2.1341500477152687e-07,2.1791513279960244e-07,2.1836355283191023e-07,0.0,7.894981161557571e-08,0.0,0.0,2.1910914456399212e-07,2.2182955085881722e-07,2.3039693205233558e-07,7.252323234482216e-08,0.19999973463864995
2025-02-14,0.0,1.7286281322109772e-07,7.620757375187687e-08,2.2229975582661306e-07,2.2125142905811336e-07,2.21545089054649e-07,2.0050704058117739e-07,2.21545089054649e-07,1.2855513352490948e-07,6.754021277951912e-08,2.1781415867359902e-07,0.0,2.1281153895801057e-07,2.2111407848682625e-07,2.2195733717672896e-07,1.8383253511148723e-07,0.1999987183023163,2.2217555202446597e-07,1.9285615915212334e-07,0.0,0.1999986080418756,2.217896407997246e-07,2.21545089054649e-07,1.1329698494245654e-07,1.6225287885105196e-07,7.584487512596461e-08,1.8188990761490643e-07,0.19999868017061964,2.200693728208541e-07,0.19999871405047984,0.0,2.21545089054649e-07,0.0,2.1817023573959633e-07,2.2134082721172822e-07,6.71696279263239e-08,0.0,0.0,7.597651819632166e-08,7.628421765401831e-08,2.2194630855598194e-07,2.2378683456375045e-07,7.513865114250306e-08,1.2434513442527817e-07,0.19999955216601822
